Dataset,Model,Accuracy,Training_Time,Trust_Score,Trust_Level,Explainability,Robustness,Bias_Shift,Concept_Drift,CUDA,Color,Description
iris,Random Forest,0.9111111111111111,0.17706513404846191,0.42313235257460724,Низкое доверие,0.18573212265413166,0.9854927887229017,0.7759909895099532,0.04855070599769236,False,#2E8B57,Ансамбль решающих деревьев
iris,MLP Neural Network (CPU),0.7777777777777778,0.05294513702392578,0.6231970569082399,Умеренное доверие,0.18995987427675587,0.899455676529425,0.05030322930695193,0.028312546003384995,False,#4169E1,Многослойный персептрон (CPU)
iris,Support Vector Machine,0.9111111111111111,0.004812717437744141,0.6057997173851062,Умеренное доверие,0.19091915696173567,0.8471802297207469,0.0506600959057875,0.03819344790069346,False,#DC143C,Метод опорных векторов
iris,Gradient Boosting,0.9333333333333333,0.2017219066619873,0.4372037887755321,Низкое доверие,0.2258153238076523,0.9805567866577118,0.7778283902137101,0.04855070599769236,False,#FF8C00,Градиентный бустинг
iris,MLP Neural Network (CUDA),0.7555555555555555,0.5540199279785156,0.37326455859228086,Очень низкое доверие,0.18709435432916027,0.8908439011386843,0.8788160072328054,0.019578591181378672,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
iris,XANFIS,0.8888888888888888,2.0072197914123535,0.7559548429643295,Умеренное доверие,1.0,0.991704327197344,0.7653177598989589,0.041034457546346076,False,#9932CC,Adaptive Neuro-Fuzzy Inference System
breast_cancer,Random Forest,0.9415204678362573,0.15795421600341797,0.4432970447932091,Низкое доверие,0.17191676985094523,0.9476298129241375,0.597947700204643,0.013116431244587222,False,#2E8B57,Ансамбль решающих деревьев
breast_cancer,MLP Neural Network (CPU),0.9707602339181286,0.054944515228271484,0.5187152404221032,Низкое доверие,0.10985616324570116,1.0,0.05496160475846289,0.04390679524579973,False,#4169E1,Многослойный персептрон (CPU)
breast_cancer,Support Vector Machine,0.9824561403508771,0.009505510330200195,0.47617264044474505,Низкое доверие,0.10985616324570116,0.85,0.06972455216966734,0.04043605185424036,False,#DC143C,Метод опорных векторов
breast_cancer,Gradient Boosting,0.9532163742690059,0.4729146957397461,0.44934660128930715,Низкое доверие,0.21095558752550198,0.8931387566130895,0.5856766822953637,0.013116431244587222,False,#FF8C00,Градиентный бустинг
breast_cancer,MLP Neural Network (CUDA),0.9707602339181286,0.25034236907958984,0.34779060761947556,Очень низкое доверие,0.12910919096173848,0.6779257232049276,0.5767627466972501,0.011914885322914856,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
breast_cancer,XANFIS,0.7953216374269005,5.231876611709595,0.7878609994980135,Умеренное доверие,1.0,0.804043812186813,0.6674904671419222,0.0429473591990749,False,#9932CC,Adaptive Neuro-Fuzzy Inference System
wine,Random Forest,1.0,0.16969847679138184,0.5429995746498448,Низкое доверие,0.16966845810584658,0.9977188866320321,0.4026181271838757,0.01141761849286289,False,#2E8B57,Ансамбль решающих деревьев
wine,MLP Neural Network (CPU),0.9074074074074074,0.022142410278320312,0.6318294014989443,Умеренное доверие,0.1273612343246028,1.0,0.034294277601839555,0.029864226274900645,False,#4169E1,Многослойный персептрон (CPU)
wine,Support Vector Machine,0.9814814814814815,0.0031235218048095703,0.5822035824624043,Низкое доверие,0.1273612343246028,0.85,0.04110983347949393,0.04576869139856258,False,#DC143C,Метод опорных векторов
wine,Gradient Boosting,0.9814814814814815,0.24570441246032715,0.5603663536113865,Низкое доверие,0.21936270558547372,0.9983130708944747,0.4115752992940072,0.01141761849286289,False,#FF8C00,Градиентный бустинг
wine,MLP Neural Network (CUDA),0.9629629629629629,0.09411883354187012,0.4894497269443371,Низкое доверие,0.17756289299217837,0.8439226982014528,0.4322308710608407,0.020281070587005706,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
wine,XANFIS,0.9444444444444444,2.4807543754577637,0.8667482232253185,Высокое доверие,1.0,0.9838110536450269,0.41627451955188804,0.011973194431738002,False,#9932CC,Adaptive Neuro-Fuzzy Inference System
digits_binary,Random Forest,1.0,0.18439817428588867,0.6589207292667725,Умеренное доверие,0.19346966194265444,0.9998802874902868,0.04610175669677846,0.015456321138553872,False,#2E8B57,Ансамбль решающих деревьев
digits_binary,MLP Neural Network (CPU),0.9977777777777778,0.14540743827819824,0.5630707136606262,Низкое доверие,0.16288552128943148,0.7396062677042348,0.05896934941512237,0.028686425904065664,False,#4169E1,Многослойный персептрон (CPU)
digits_binary,Support Vector Machine,1.0,0.026642322540283203,0.5842388707480262,Низкое доверие,0.13066366601022358,0.85,0.03676972049488531,0.04818432217181121,False,#DC143C,Метод опорных векторов
digits_binary,Gradient Boosting,1.0,0.4605140686035156,0.6815706863859821,Умеренное доверие,0.2501700535630319,0.9997780543952275,0.04610175669677846,0.015456321138553872,False,#FF8C00,Градиентный бустинг
digits_binary,MLP Neural Network (CUDA),1.0,0.4834272861480713,0.5962716362780165,Низкое доверие,0.15478541978876795,0.8488455517626279,0.05472317555644941,0.01535063356499848,False,#8A2BE2,Многослойный персептрон (CPU адаптивный)
digits_binary,XANFIS,0.8177777777777778,22.728538990020752,0.9566531557533446,Высокое доверие,1.0,0.9507290547413554,0.0654175428003773,0.03184719171396233,False,#9932CC,Adaptive Neuro-Fuzzy Inference System
